#
#
#   /$$$$$$  /$$ /$$   /$$               /$$      
#  /$$__  $$| $$|__/  | $$              | $$      
# | $$  \__/| $$ /$$ /$$$$$$    /$$$$$$$| $$$$$$$ 
# | $$ /$$$$| $$| $$|_  $$_/   /$$_____/| $$__  $$
# | $$|_  $$| $$| $$  | $$    | $$      | $$  \ $$
# | $$  \ $$| $$| $$  | $$ /$$| $$      | $$  | $$
# |  $$$$$$/| $$| $$  |  $$$$/|  $$$$$$$| $$  | $$
#  \______/ |__/|__/   \___/   \_______/|__/  |__/
#
# __________________________________________________
# __________________________________________________
#
#
# Glitch AddOn
# by GlitchTrader.com
#
# __________________________________________________
# __________________________________________________
#
#
# key	en-US	pt-BR	es-ES	zh-CN	fr-FR	ru-RU
analytics.dial.sell	Sell	Venda	Venta	卖出	Vente	Продажа
analytics.factor.agreement	Agree	Concordância	Concordancia	一致	Accord	Согласие
analytics.factor.ema	EMA	EMA	EMA	EMA	EMA	EMA
analytics.factor.ma	MA	MA	MA	MA	MA	MA
analytics.factor.order_flow	OF	OF	OF	OF	OF	OF
analytics.factor.rsi	RSI	RSI	RSI	RSI	RSI	RSI
analytics.factor.stoch	Stoch	Stoch	Stoch	Stoch	Stoch	Stoch
analytics.factor.osc	Osc	Osc	Osc	Osc	Osc	Osc
analytics.factor.raw	Raw	Bruto	Bruto	原始	Brut	Сырой
analytics.factor.z_score	Z-Score	Z-Score	Z-Score	Z-Score	Z-Score	Z-Score
analytics.fundamental.error	Fundamental feed error	Erro no feed fundamental	Error del feed fundamental	基本面数据源错误	Erreur du flux fondamental	Ошибка фундаментального потока
analytics.instrument	Instrument	Instrumento	Instrumento	品种	Instrument	Инструмент
analytics.metric.avg_price	Avg Price	Preço Médio	Precio Prom.	平均价	Prix Moy.	Средн. Цена
analytics.metric.composite	Glitch Score	Glitch Score	Glitch Score	Glitch Score	Glitch Score	Glitch Score
analytics.metric.current_price	Current Price	Preço Atual	Precio Actual	当前价格	Prix Actuel	Текущая Цена
analytics.metric.session	Session	Sessão	Sesión	时段	Session	Сессия
analytics.no_recent_headlines	No recent instrument headlines.	Sem manchetes recentes do instrumento.	No hay titulares recientes del instrumento.	该品种暂无最新头条。	Aucun titre récent pour cet instrument.	Нет свежих заголовков по инструменту.
analytics.order_flow.confidence	Conf	Conf	Conf	置信度	Conf	Увер.
analytics.order_flow.prefix	OrderFlow	OrderFlow	OrderFlow	订单流	OrderFlow	OrderFlow
analytics.order_flow.unavailable	Order flow unavailable	Order flow indisponível	Order flow no disponible	订单流不可用	Order flow indisponible	Order flow недоступен
analytics.regime	Regime	Regime	Régimen	状态	Régime	Режим
analytics.regime.choppy	Choppy	Lateral	Lateral	震荡	Haché	Пила
analytics.regime.trending	Trending	Tendência	Tendencia	趋势	Tendance	Тренд
analytics.regime.transitional	Transitional	Transição	Transición	过渡	Transition	Переход
analytics.regime.with	with	com	con	伴随	avec	с
analytics.session_range.avg	Avg	Média	Prom.	均值	Moy.	Сред.
analytics.session_range.current	Current	Atual	Actual	当前	Actuel	Текущий
analytics.session_range.high	Session High	Máx. Sessão	Máx. Sesión	本时段高点	Plus Haut Séance	Макс. Сессии
analytics.session_range.low	Session Low	Mín. Sessão	Mín. Sesión	本时段低点	Plus Bas Séance	Мин. Сессии
analytics.signal.neutral	Neutral	Neutro	Neutral	中性	Neutre	Нейтрально
analytics.technical.bridge_missing_cta	To enable Technical Analysis, add GlitchAnalyticsBridge to a NinjaTrader chart. Data is available during market hours. If refresh is needed, re-apply the indicator on the chart.	Para habilitar a Análise Técnica, adicione o GlitchAnalyticsBridge a um gráfico do NinjaTrader. Os dados ficam disponíveis durante o horário de mercado. Se precisar atualizar, reaplique o indicador no gráfico.	Para habilitar el Análisis Técnico, añade GlitchAnalyticsBridge a un gráfico de NinjaTrader. Los datos están disponibles durante el horario de mercado. Si necesitas actualizar, vuelve a aplicar el indicador en el gráfico.	要启用技术分析，请将 GlitchAnalyticsBridge 添加到 NinjaTrader 图表。数据仅在市场时段可用；如需刷新，请重新加载该指标。	Pour activer l'Analyse Technique, ajoutez GlitchAnalyticsBridge sur un graphique NinjaTrader. Les données sont disponibles pendant les heures de marché. Si un rafraîchissement est nécessaire, réappliquez l'indicateur sur le graphique.	Чтобы включить технический анализ, добавьте GlitchAnalyticsBridge на график NinjaTrader. Данные доступны в торговые часы. Если нужно обновление, заново примените индикатор к графику.
analytics.timeframe.min_format	{0} min	{0} min	{0} min	{0} 分钟	{0} min	{0} мин
analytics.timeframe.avg_price_title	{0} min Avg Price	{0} min Preço Médio	{0} min Precio Prom.	{0} 分钟平均价	{0} min Prix Moy.	{0} мин Средн. Цена
analytics.unified.bias	Bias	Viés	Sesgo	偏向	Biais	Уклон
analytics.unified.bias.long	Long	Long	Long	多头	Long	Лонг
analytics.unified.bias.neutral	Neutral	Neutro	Neutral	中性	Neutre	Нейтрально
analytics.unified.bias.short	Short	Short	Short	空头	Short	Шорт
analytics.unified.exec_signal	Glitch TF Score	Glitch TF Score	Glitch TF Score	Glitch TF Score	Glitch TF Score	Glitch TF Score
analytics.unified.execution_tf	Execution TF	TF de Execução	TF de Ejecución	执行周期	TF d'Exécution	TF Исполнения
analytics.unified.gate.go	Go	Entrar	Entrar	执行	Entrée	Вход
analytics.unified.gate.pass	Pass	Passar	Pasar	跳过	Passer	Пропуск
analytics.unified.gate.watch	Watch	Observar	Vigilar	观察	Surveiller	Наблюдать
analytics.unified.action	Action	Ação	Acción	操作	Action	Действие
analytics.unified.action.execute	Execute	Executar	Ejecutar	执行	Exécuter	Исполнить
analytics.unified.action.execute_long	Execute Long	Executar Long	Ejecutar Long	执行多	Exécuter Long	Исполнить Лонг
analytics.unified.action.execute_short	Execute Short	Executar Short	Ejecutar Short	执行空	Exécuter Short	Исполнить Шорт
analytics.unified.action.no_trade	No Trade	Sem Operação	Sin Operación	无交易	Pas de Trade	Нет Сделки
analytics.unified.action.wait	Wait	Aguardar	Esperar	等待	Attendre	Ожидать
analytics.unified.quality	Quality	Qualidade	Calidad	质量	Qualité	Качество
analytics.unified.setup	Setup	Setup	Setup	Setup	Setup	Setup
analytics.unified.setup.continue	Continue	Continuação	Continuación	延续	Continuation	Продолжение
analytics.unified.setup.flat	Flat	Flat	Flat	Flat	Flat	Флэт
analytics.unified.setup.pullback	Pullback	Pullback	Pullback	回撤	Pullback	Откат
analytics.unified.setup.reversal	Reversal	Reversão	Reversión	反转	Retournement	Разворот
analytics.volatility.high	High volatility	Alta volatilidade	Alta volatilidad	高波动	Haute volatilité	Высокая волатильность
analytics.volatility.low	Low volatility	Baixa volatilidade	Baja volatilidad	低波动	Faible volatilité	Низкая волатильность
analytics.volatility.moderate	Moderate volatility	Volatilidade moderada	Volatilidad moderada	中等波动	Volatilité modérée	Умеренная волатильность
analytics.window.secondary_title	Nasdaq Macro	Nasdaq Macro	Nasdaq Macro	Nasdaq Macro	Nasdaq Macro	Nasdaq Macro
dashboard.column.account_name	Account Name	Nome da Conta	Nombre de la Cuenta	账户名称	Nom du Compte	Имя Счета
dashboard.column.buffer	Buffer	Buffer	Buffer	缓冲	Buffer	Буфер
dashboard.column.equity	Equity	Equity	Equity	权益	Equity	Equity
dashboard.column.firm	Firm	Mesa	Firma	资方	Firm	Фирма
dashboard.column.netliq	NetLiq	NetLiq	NetLiq	NetLiq	NetLiq	NetLiq
dashboard.column.pnl	PnL	PnL	PnL	PnL	PnL	PnL
dashboard.column.realized_pnl	R PnL	R PnL	R PnL	R PnL	R PnL	R PnL
dashboard.column.risk	Risk	Risco	Riesgo	风险	Risque	Риск
dashboard.column.size	Size	Tamanho	Tamaño	规模	Taille	Размер
dashboard.column.status	Status	Status	Estado	状态	Statut	Статус
dashboard.column.unrealized_pnl	U PnL	U PnL	U PnL	U PnL	U PnL	U PnL
dashboard.connected_accounts	Connected Accounts	Contas Conectadas	Cuentas Conectadas	已连接账户	Comptes Connectés	Подключенные Счета
dashboard.replication_groups	Replication Groups	Grupos de Replicação	Grupos de Replicación	复制分组	Groupes de Réplication	Группы Репликации
dashboard.group.add_account	+ Add Account	+ Adicionar Conta	+ Añadir Cuenta	+ 添加账户	+ Ajouter un Compte	+ Добавить Счет
dashboard.group.column.enable	Enable	Ativar	Activar	启用	Activer	Вкл
dashboard.group.column.follower_account	Follower Account	Conta Follower	Cuenta Follower	跟随账户	Compte Follower	Счет Follower
dashboard.group.column.master	Master	Master	Master	主账户	Master	Master
dashboard.group.column.max_c	Max C	Max C	Max C	最大手数	Max C	Макс C
dashboard.group.column.max_dd	Max DD	Max DD	Max DD	最大回撤	Max DD	Макс DD
dashboard.group.column.max_l	Max L	Max L	Max L	最大亏损	Max L	Макс L
dashboard.group.column.position	Position	Posição	Posición	持仓	Position	Позиция
dashboard.group.column.ratio	Ratio	Ratio	Ratio	比例	Ratio	Коэф.
dashboard.group.create_group	+ Create Group	+ Criar Grupo	+ Crear Grupo	+ 创建分组	+ Créer un Groupe	+ Создать Группу
dashboard.group.master_label_format	Group {0} | Master:	Grupo {0} | Master:	Grupo {0} | Master:	组 {0} | Master:	Groupe {0} | Master :	Группа {0} | Master:
dashboard.group.master_enable_locked	Master account is always enabled	Conta master está sempre ativa	La cuenta master siempre está activa	主账户始终启用	Le compte master est toujours activé	Счёт master всегда включён
dashboard.group.master_row_tooltip	Master account	Conta master	Cuenta master	主账户	Compte master	Счёт master
dashboard.group.remove	Remove	Remover	Quitar	移除	Supprimer	Удалить
dashboard.group.remove_group	Remove Group	Remover Grupo	Quitar Grupo	移除分组	Supprimer le Groupe	Удалить Группу
dashboard.group.ratio_edit_hint	Double-click to edit ratio	Clique duas vezes para editar o ratio	Doble clic para editar el ratio	双击编辑比例	Double-cliquez pour modifier le ratio	Двойной щелчок для редактирования коэффициента
dashboard.group.ratio_math	Follower contracts = master contracts × ratio	Contratos follower = contratos master × ratio	Contratos follower = contratos master × ratio	跟随合约 = 主账户合约 × 比例	Contrats follower = contrats master × ratio	Контракты follower = контракты master × коэффициент
dashboard.group.ratio_math_format	master {0} × ratio {1} ⇒ follower {2} contracts	master {0} × ratio {1} ⇒ follower {2} contratos	master {0} × ratio {1} ⇒ follower {2} contratos	主账户 {0} × 比例 {1} ⇒ 跟随 {2} 合约	master {0} × ratio {1} ⇒ follower {2} contrats	master {0} × ratio {1} ⇒ follower {2} контрактов
dashboard.group.sync	Sync	Sincronizar	Sincronizar	同步	Synchroniser	Синхронизировать
dashboard.group.sync_tooltip	Sync enabled followers to the master now	Sincronizar agora os seguidores ativados com o master	Sincronizar ahora los seguidores activados con el maestro	立即将已启用的跟随账户同步到主账户	Synchroniser maintenant les suiveurs activés avec le master	Синхронизировать включённых последователей с мастером сейчас
dialog.add_follower.prompt	Pick a follower account:	Escolha uma conta follower:	Elige una cuenta follower:	选择一个跟随账户：	Choisissez un compte follower :	Выберите счет follower:
dialog.add_follower.title	Add Follower Account	Adicionar Conta Follower	Añadir Cuenta Follower	添加跟随账户	Ajouter un Compte Follower	Добавить Счет Follower
dialog.common.cancel	Cancel	Cancelar	Cancelar	取消	Annuler	Отмена
dialog.common.ok	OK	OK	OK	确定	OK	OK
dialog.common.proceed	Proceed	Prosseguir	Continuar	继续	Continuer	Продолжить
dialog.create_group.prompt	Pick a master account:	Escolha uma conta master:	Elige una cuenta master:	选择一个主账户：	Choisissez un compte master :	Выберите master-счет:
dialog.create_group.title	Create Account Group	Criar Grupo de Contas	Crear Grupo de Cuentas	创建账户分组	Créer un Groupe de Comptes	Создать Группу Счетов
header.banner.news_event_in_progress	News Event in Progress	Evento de Notícia em Andamento	Evento de Noticias en Curso	新闻事件进行中	Événement News en Cours	Новостное Событие Идет
header.banner.news_event_in_progress_prefix	News Event in Progress:	Evento de Notícia em Andamento:	Evento de Noticias en Curso:	新闻事件进行中：	Événement News en Cours :	Новостное Событие Идет:
header.button.flatten_all	Flatten All	Zerar Tudo	Cerrar Todo	全部平仓	Tout Aplatir	Закрыть Все
header.button.flattened	Flattened!	Zerado!	Cerrado!	已平仓！	Aplati !	Закрыто!
header.button.replicate	Replicate	Replicar	Replicar	复制跟单	Répliquer	Реплицировать
header.button.replicating	Replicating	Replicando	Replicando	复制中	Réplication	Репликация
header.button.start	Start	Iniciar	Iniciar	开始	Démarrer	Старт
header.button.stop	Stop	Parar	Detener	停止	Arrêter	Стоп
header.metric.fleet_upnl	Daily PnL	PnL Diário	PnL Diario	当日盈亏	PnL Journalier	Дневной PnL
header.metric.eval_pnl	Eval PnL	Eval PnL	Eval PnL	Eval PnL	Eval PnL	Eval PnL
header.metric.eval_risk	Eval Risk	Risco Eval	Riesgo Eval	Eval 风险	Risque Eval	Eval Риск
header.metric.global_risk	Global Risk	Risco Global	Riesgo Global	全局风险	Risque Global	Глобальный Риск
header.metric.pa_pnl	PA PnL	PA PnL	PA PnL	PA PnL	PA PnL	PA PnL
header.metric.pa_risk	PA Risk	Risco PA	Riesgo PA	PA 风险	Risque PA	PA Риск
header.metric.warnings	Warnings	Alertas	Alertas	预警	Alertes	Предупр.
journal.card.avg_loss	Avg Loss	Avg Loss	Pérd. Prom.	平均亏损	Perte Moy.	Средн. Убыток
journal.card.avg_win	Avg Win	Avg Win	Gan. Prom.	平均盈利	Gain Moy.	Средн. Прибыль
journal.card.total_trades	Total Trades	Total de Trades	Total Trades	总交易数	Trades Totaux	Всего Сделок
journal.column.account	Account	Conta	Cuenta	账户	Compte	Счет
journal.column.dismiss	Dismiss	Fechar	Descartar	忽略	Masquer	Скрыть
journal.column.message	Message	Mensagem	Mensaje	消息	Message	Сообщение
journal.column.time	Time	Hora	Hora	时间	Heure	Время
journal.column.type	Type	Tipo	Tipo	类型	Type	Тип
journal.column.warning	Warning	Alerta	Alerta	预警	Alerte	Предупреждение
journal.critical_warnings	Critical Warnings	Alertas Críticos	Alertas Críticas	关键预警	Alertes Critiques	Критические Предупреждения
journal.title	Journal	Journal	Diario	日志	Journal	Журнал
journal.notice_history	Notice History	Histórico de Avisos	Historial de Avisos	通知历史	Historique des Avis	История Уведомлений
journal.trade_feed	Live Feed	Feed ao Vivo	Feed en Vivo	实时流	Flux Live	Лента Live
journal.trader_performance	Trader Performance	Performance do Trader	Rendimiento del Trader	交易表现	Performance du Trader	Результаты Трейдера
summary.account_trades	Account Trades	Trades por Conta	Trades por Cuenta	账户级交易	Trades Compte	Сделки по Счетам
summary.accounts	Accounts	Contas	Cuentas	账户	Comptes	Счета
summary.accounts_count_format	{0} accounts	{0} contas	{0} cuentas	{0} 个账户	{0} comptes	{0} счетов
summary.all	All	Geral	Total	全部	Tous	Все
summary.avg_contracts_trade	Avg Contracts / Trade	Contratos Médios / Trade	Contratos Prom. / Trade	每笔平均合约	Contrats Moy. / Trade	Средн. Контракты / Сделка
summary.avg_duration	Avg Duration	Duração Média	Duración Prom.	平均持仓时长	Durée Moy.	Средн. Длительность
summary.avg_loss	Avg Loss	Avg Loss	Pérd. Prom.	平均亏损	Perte Moy.	Средн. Убыток
summary.avg_trade	Avg Trade	Trade Médio	Trade Prom.	平均每笔	Trade Moy.	Средн. Сделка
summary.avg_win	Avg Win	Avg Win	Gan. Prom.	平均盈利	Gain Moy.	Средн. Прибыль
summary.card.accounts	Accounts Traded	Contas Operadas	Cuentas Operadas	参与账户	Comptes Tradés	Торгующих Счетов
summary.card.fleet_trades	Fleet Trades	Trades da Frota	Trades de la Flota	编组交易数	Trades Flotte	Сделки Флота
summary.card.net_pnl	Net PnL	Net PnL	Net PnL	净 PnL	Net PnL	Net PnL
summary.card.profit_factor	Profit Factor	Fator de Lucro	Factor de Beneficio	盈利因子	Profit Factor	Фактор Прибыли
summary.card.trades	Closed Trades	Trades Fechados	Trades Cerrados	已平仓交易	Trades Clôturés	Закрытые Сделки
summary.card.win_rate	Win Rate	Taxa de Acerto	Tasa de Acierto	胜率	Taux de Réussite	Процент Побед
summary.close_reasons	Close Reasons	Motivos de Saída	Motivos de Salida	平仓原因	Motifs de Sortie	Причины Выхода
summary.close_time	Close Time	Hora de Fechamento	Hora de Cierre	平仓时间	Heure de Sortie	Время Закрытия
summary.contracts	Contracts	Contratos	Contratos	合约数	Contrats	Контракты
summary.duration	Duration	Duração	Duración	持续时间	Durée	Длительность
summary.exit	Exit	Saída	Salida	退出	Sortie	Выход
summary.exit.manual	Manual	Manual	Manual	手动	Manuel	Ручн.
summary.exit.news_event	News	News	News	新闻	News	News
summary.exit.replication_sync	Sync	Sync	Sync	同步	Sync	Sync
summary.exit.risk_management	RM	RM	RM	RM	RM	RM
summary.exit.session_end	Close	Sess.	Cierre	收盘	Clôt.	Сесс.
summary.exit.signal_flip	Flip	Flip	Flip	翻转	Flip	Flip
summary.exit.stop_loss	SL	SL	SL	SL	SL	SL
summary.exit.take_profit	TP	TP	TP	TP	TP	TP
summary.exit.unknown	UNK	UNK	UNK	UNK	UNK	UNK
summary.gross_loss	Gross Loss	Perda Bruta	Pérdida Bruta	总亏损	Perte Brute	Валовый Убыток
summary.gross_profit	Gross Profit	Lucro Bruto	Beneficio Bruto	总盈利	Profit Brut	Валовая Прибыль
summary.instrument	Instrument	Instrumento	Instrumento	品种	Instrument	Инструмент
summary.largest_loss	Largest Loss	Maior Perda	Mayor Pérdida	最大亏损	Plus Grande Perte	Самый Большой Убыток
summary.largest_win	Largest Win	Maior Ganho	Mayor Ganancia	最大盈利	Plus Grand Gain	Самая Большая Прибыль
summary.long	Long	Long	Long	多头	Long	Лонг
summary.max_loss_streak	Max Loss Streak	Máx. Sequência de Perdas	Máx. Racha de Pérdidas	最大连亏	Max Série de Pertes	Макс. Серия Убытков
summary.max_win_streak	Max Win Streak	Máx. Sequência de Ganhos	Máx. Racha de Ganancias	最大连赢	Max Série de Gains	Макс. Серия Побед
summary.metrics_column	Metrics	Métricas	Métricas	指标	Métriques	Метрики
summary.net_pnl	Net PnL	Net PnL	Net PnL	净 PnL	Net PnL	Net PnL
summary.open_reason.manual_entry	Manual Entry	Entrada Manual	Entrada Manual	手动开仓	Entrée Manuelle	Ручной Вход
summary.open_reason.protective_followup	Protective Follow-up	Follow-up Protetivo	Seguimiento Protector	保护性跟进	Suivi Protecteur	Защитное Сопровождение
summary.open_reason.replication_sync	Replication Sync	Replication Sync	Replication Sync	复制同步	Sync Réplication	Синхронизация Репликации
summary.open_reason.unknown	Manual / Unknown	Manual / Desconhecido	Manual / Desconocido	手动 / 未知	Manuel / Inconnu	Ручной / Неизвестно
summary.open_time	Open Time	Hora de Abertura	Hora de Apertura	开仓时间	Heure d'Entrée	Время Открытия
summary.point_value_unknown	Point value unknown for {0}; PnL display may be wrong.	Valor do ponto desconhecido para {0}; exibição de PnL pode estar errada.	Valor del punto desconocido para {0}; la visualización de PnL puede ser incorrecta.	{0} 的点值未知；PnL 显示可能有误。	Valeur du point inconnue pour {0} ; l'affichage du PnL peut être erroné.	Неизвестное значение пункта для {0}; отображение PnL может быть неверным.
summary.pnl_short	PnL	PnL	PnL	PnL	PnL	PnL
summary.pnl_gross_commissions	gross {0} − commissions {1}	bruto {0} − comissões {1}	bruto {0} − comisiones {1}	毛 {0} − 佣金 {1}	brut {0} − commissions {1}	валовый {0} − комиссии {1}
summary.journal_reconcile_divergence	Journal net PnL ({0}) differs from NinjaTrader realized PnL ({1}) for {2}.	PnL líquido do Journal ({0}) difere do PnL realizado do NinjaTrader ({1}) para {2}.	El PnL neto del Journal ({0}) difiere del PnL realizado de NinjaTrader ({1}) para {2}.	日记账净 PnL（{0}）与 NinjaTrader 已实现 PnL（{1}）不一致（{2}）。	Le PnL net du journal ({0}) diffère du PnL réalisé NinjaTrader ({1}) pour {2}.	Чистый PnL журнала ({0}) отличается от реализованного PnL NinjaTrader ({1}) для {2}.
summary.profit_factor	Profit Factor	Fator de Lucro	Factor de Beneficio	盈利因子	Profit Factor	Фактор Прибыли
summary.reason.manual_other	Manual / Other	Manual / Outro	Manual / Otro	手动 / 其他	Manuel / Autre	Ручной / Другое
summary.reason.news_event	News Event	Evento de Notícia	Evento de Noticias	新闻事件	Événement News	Новостное Событие
summary.reason.replication_sync	Replication Sync	Replication Sync	Replication Sync	复制同步	Sync Réplication	Синхронизация Репликации
summary.reason.risk_management	Risk Management	Gerenciamento de Risco	Gestión de Riesgo	风险管理	Gestion du Risque	Риск-Менеджмент
summary.reason.session_end	Session End	Fim de Sessão	Fin de Sesión	时段结束	Fin de Session	Конец Сессии
summary.reason.signal_flip	Signal Flip	Inversão de Sinal	Cambio de Señal	信号翻转	Flip de Signal	Смена Сигнала
summary.reason.stop_loss	Stop Loss	Stop Loss	Stop Loss	止损	Stop Loss	Stop Loss
summary.reason.take_profit	Take Profit	Take Profit	Take Profit	止盈	Take Profit	Take Profit
summary.reason.unknown	Unknown	Desconhecido	Desconocido	未知	Inconnu	Неизвестно
summary.reset_data	Reset Data	Resetar Dados	Restablecer Datos	重置数据	Réinitialiser les Données	Сбросить Данные
summary.reset_data.details	This clears Journal, Critical Warnings, and all Summary trade statistics so you can start over.	Isso limpa o Journal, os Alertas Críticos e todas as estatísticas de trade do Summary para você começar do zero.	Esto limpia el Diario, las Alertas Críticas y todas las estadísticas del Summary para empezar de cero.	这将清除日志、关键预警以及 Summary 中的全部交易统计，以便重新开始。	Cela efface le Journal, les Alertes Critiques et toutes les statistiques de trade du Summary pour repartir de zéro.	Это очистит Journal, критические предупреждения и всю торговую статистику Summary, чтобы начать заново.
summary.reset_data.prompt	Your data will be reset including statistics about your trades and accounts. Confirm?	Seus dados serão resetados, incluindo estatísticas sobre seus trades e contas. Confirmar?	Tus datos se restablecerán, incluidas las estadísticas de tus trades y cuentas. ¿Confirmar?	你的数据将被重置，包括交易和账户统计。确认吗？	Vos données seront réinitialisées, y compris les statistiques sur vos trades et vos comptes. Confirmer ?	Ваши данные будут сброшены, включая статистику по сделкам и счетам. Подтвердить?
summary.reset_data.title	Reset Data	Resetar Dados	Restablecer Datos	重置数据	Réinitialiser les Données	Сбросить Данные
summary.short	Short	Short	Short	空头	Short	Шорт
summary.side	Side	Lado	Lado	方向	Sens	Сторона
summary.side.long	Long	Long	Long	多头	Long	Лонг
summary.side.short	Short	Short	Short	空头	Short	Шорт
summary.title	Trading Summary	Resumo Operacional	Resumen Operativo	交易摘要	Résumé de Trading	Сводка по Торговле
summary.total_trades	Total Trades	Total de Trades	Total Trades	总交易数	Trades Totaux	Всего Сделок
summary.updated	Updated	Atualizado	Actualizado	更新于	Mis à Jour	Обновлено
summary.win_rate	Win Rate	Taxa de Acerto	Tasa de Acierto	胜率	Taux de Réussite	Процент Побед
tab.analytics	Analytics	Analytics	Analítica	分析	Analytique	Аналитика
tab.dashboard	Dashboard	Dashboard	Panel	仪表盘	Tableau	Панель
tab.journal	Journal	Journal	Diario	日志	Journal	Журнал
tab.settings	Settings	Configurações	Configuración	设置	Réglages	Настройки
settings.title	Settings	Configurações	Configuración	设置	Réglages	Настройки
settings.compliance.copy_trading_notice	Check {0}'s trade-copier policy — see Settings › Compliance.	Verifique a política de copiador de {0} — veja Configurações › Compliance.	Revise la política de copiador de {0} — vea Configuración › Compliance.	请核对 {0} 的跟单政策 — 见设置 › 合规。	Vérifiez la politique de copieur de {0} — voir Paramètres › Conformité.	Проверьте политику копирования {0} — см. Настройки › Compliance.
settings.risk.enforce_ai_daily_close	Enable automated daily-close flatten only for the configured AI account scope.	Ative o fechamento diário automatizado somente para o escopo de contas de IA configurado.	Active el cierre plano diario automatizado solo para el ámbito de cuentas de IA configurado.	仅为已配置的 AI 账户范围启用自动日终平仓。	Activez l'aplatissement automatique de fin de journée uniquement pour le périmètre de comptes IA configuré.	Включить автоматическое закрытие в конце дня только для настроенной области счетов ИИ.
settings.risk.enforce_ai_daily_close_scope	Action at 16:59 Eastern: enabling submits a broad account flatten and cancels working orders only for these persisted AI accounts (independent of Hermes pause):	Ação às 16:59 no horário do leste: ao ativar, envia um zeramento amplo da conta e cancela ordens pendentes somente para estas contas de IA persistidas (independente da pausa do Hermes):	Acción a las 16:59 hora del Este: al activarla, envía un cierre amplio de la cuenta y cancela órdenes activas solo para estas cuentas de IA persistidas (independiente de la pausa de Hermes):	东部时间16:59执行：启用后，仅对这些已持久化的 AI 账户提交全账户平仓并取消挂单（不受 Hermes 暂停影响）：	Action à 16:59 heure de l’Est : l’activation envoie un aplatissement global du compte et annule les ordres actifs uniquement pour ces comptes IA persistés (indépendamment de la pause Hermes) :	Действие в 16:59 по восточному времени: при включении отправляется полное закрытие счёта и отменяются рабочие ордера только для этих сохранённых ИИ-счетов (независимо от паузы Hermes):
settings.risk.enforce_ai_daily_close_scope_empty	Action at 16:59 Eastern: no persisted AI accounts are configured, so this setting cannot flatten any account.	Ação às 16:59 no horário do leste: nenhuma conta de IA persistida está configurada, portanto esta opção não pode fechar nenhuma conta.	Acción a las 16:59 hora del Este: no hay cuentas de IA persistidas configuradas, por lo que esta opción no puede cerrar ninguna cuenta.	东部时间16:59执行：未配置任何已持久化的 AI 账户，因此此设置无法平仓任何账户。	Action à 16:59 heure de l’Est : aucun compte IA persisté n’est configuré ; ce paramètre ne peut donc aplatir aucun compte.	Действие в 16:59 по восточному времени: не настроено ни одного сохранённого ИИ-счёта, поэтому этот параметр не может закрыть ни один счёт.
settings.risk.enable	Enable	Ativar	Activar	启用	Activer	Включить
